Combined list of locations,,,
S.No.,Location Name,Latitude,Longitude
208,India Gate Rajpath Crossing,28.61299444,77.22771111
209,Kamal T Point,28.633651,77.2056
210,KD Chowk,28.48948889,77.28660833
211,Nangloi Depot,28.68121667,77.07745556
212,Nizamuddin Khatta,28.59314,77.243611
213,Palla Red Light Chowk,28.803052,77.142851
214,Rangpuri Chowk,28.534695,77.109487
215,ISBT Kashmiri Gate (Ring Road),28.67011,77.23169
216,Burari Chowk,28.7551,77.19877
217,Round About Mori Gate,28.66601,77.22193
218,Zakhira Flyover,28.66871,77.16478
219,Gandhi Vihar Bus Stand,28.722038,77.216424
220,Nangli Poona,28.771921,77.143666
221,Siraspur,28.7586,77.14774
222,Ghazipur Gol Chakar,28.62747,77.31771
223,Premavari Chowk,28.69943,77.15735
224,Moti Bagh Flyover Interchange,28.57853,77.17614
225,Geeta Colony Interchange,28.65159,77.267
226,Signature Bridge Interchange,28.70608,77.22814
227,Jay Bajrang Bali Chowk,28.66186,77.23925
228,Loni Border Flyover Interchange,28.70094,77.29161
229,DND Flyover Interchange,28.57985,77.26814
230,Tilak Nagar Metro Station Junction,28.63669,77.09636
231,Janakpuri District Center Flyover,28.63139,77.08189
232,Nehru Place Flyover Junction,28.54601,77.2503
233,Shivaji Palce Junction,28.65022,77.12504
234,Badarpur Park Chowk,28.49944,77.30066
235,Jaffarbad road Wazirabad road Intersection,28.70184,77.28373
236,Subroto Park RTR Flyover,28.57542,77.14322
237,Bhikaji Cama Palace Chowk,28.57,77.1847
238,Ber Sarai Junction,28.55065,77.1839
239,Haiderpur Chowk,28.72676,77.144
240,Sriniwaspuri Flyover Interchange,28.56561,77.25004
241,RTR Flyover,28.56839,77.13196
242,CGO Complex Junction,28.59275,77.23993
243,Gandhi Smiriti Junction(OL),28.6355,77.24709
244,Majlis Park Metro Station Junction,28.72525,77.18276
245,Loha Mandi Junction,28.64056,77.14464
246,Gol Dakhana Junction,28.62698,77.20661
247,Shanti Van Junction,28.65068,77.24508
248,Baba Prakash Puri Bijwasan (JN),28.53794,77.03689
249,Jhilmil Colony Industrial Area Junction,28.67558,77.3031
250,ITO Park Junction,28.62812,77.27151
251,Karkari Mor Flyover,28.64412,77.29868
252,Mandi Junction(aerocity),28.55309,77.13146
253,IIT Flyover Junction,28.54467,77.20141
254,Indraprastha Park Junction,28.59839,77.25575
255,Kailash Nagar Junction,28.66577,77.25339
256,DBGupta and Faiz Road Junction,28.64887,77.19952
257,Barapullah Flyover Interchange,28.58295,77.26404
258,Jasola Vihar Interchange,28.53564,77.28513
259,Apoorva Chowk,28.59834,77.06356
260,South Ex Flyover,28.56781,77.22547
261,Raj Ghat Interchange,28.65123,77.25154
262,Krishna Mandir Junction,28.6151,76.98372
263,Mangolpuri Junction,28.6886,77.09621
264,Nand Nagari Junction,28.69916,77.3051
265,Sbzi Mandi Govindpuri Junction,28.53783,77.26133
266,Saidulajab Colony Mod,28.51894,77.20977
267,Panchshel Park Metro Station Gate 1 junction,28.54257,77.21978
268,RKPuram Metro Staion Junction,28.63953,77.20808
269,Kriti Nagar Metro Station,28.65522,77.15237
270,Kolmet Hospital Junction,28.64387,77.18719
